place,address,status,screen,capacity,contact,notes,section,maps
AWS Builder Loft,"525 Market St, 2nd fl, 94105",,Event AV,Community slot,"awsbuilderloft@amazon.com. No official X (Luma @awsbuilderloft is Luma, not X).",,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=525+Market+St,+2nd+fl,+94105,+San+Francisco,+CA"
Digital Jungle,"972 Mission St, 2nd fl, 94103",,30-ft 4K LED wall + Shure / Blackmagic / livestream,~250 seated / ~300 standing + 10 breakout rooms,"Form only: https://digitaljunglesf.com/ · Tagvenue host Cyril Attia, likely https://x.com/cyrilBMA · no venue X (site’s @digitaljunglesf 404s; listed phone is fake)",,,"https://www.google.com/maps/search/?api=1&query=972+Mission+St,+2nd+fl,+94103,+San+Francisco,+CA"
Dropbox,"50 Hawthorne St, 94105 (full-building lease, 64k sf). Legal HQ still 1800 Owens.",,Unknown public AV. Drew Breunig (@dbreunig) booked a night somewhere — not confirmed as Dropbox.,Building is Dropbox-only now,"No public events email. Eric Wang, Dmitriy Meyerzon, Jessica Day: LinkedIn only, no X. Don’t DM @DropboxSupport. Property mgmt is BXP: folsomservices@bxp.com · (415) 796-5540 — landlord, not Dropbox events.",,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=50+Hawthorne+St,+94105+(full-building+lease,+64k+sf).+Legal+HQ+still+1800+Owens.,+San+Francisco,+CA"
Lyft,"185 Berry St Ste 400, 94107",,Hosted CocoaHeads / SLUG talks. Use Berry 185 Lobby 2 elevator (closer to Oracle Park),Space-limited community nights,Ground host: Dhrushit Raval (LinkedIn only). Org: https://x.com/lyft · CEO https://x.com/davidrisher. No public events email.,,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=185+Berry+St+Ste+400,+94107,+San+Francisco,+CA"
Sentry,"45 Fremont St, 8th fl, 94105",,"Hosts SF Ruby, All Things Web, Breakpoint Live. Talks + pizza. Visitor agreement emailed before arrival",Typical 80–200,"sentry.io/community · Luma Contact the Host on Sentry events. Org X likely @sentry (old @getsentry). Named DX/events staff (Cody De Arkland, Dorothy Lee, Kyle Tryon) have no X. No public “book our HQ” form.",,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=45+Fremont+St,+8th+fl,+94105,+San+Francisco,+CA"
Studio at Mission Rock,"365 Toni Stone Crossing, Fl 2–4, 94158",,"Boardroom: 80"" TV + Logitech Rally. Event space: “high-tech presentation + video conferencing.” AV extra.",Boardroom ~20. Entire venue standing 299 / theatre 100,"help@yourstudio.com · (628) 400-4788 · SF community contact: Clarissa. Rachelle Borja is NY global ops, no X. Leasing: Patrick Devinger (415) 273-7921 pdevinger@tishmanspeyer.com · yourstudio.com/mission-rock",,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=365+Toni+Stone+Crossing,+Fl+2–4,+94158,+San+Francisco,+CA"
Cloudflare,"101 Townsend St, 94107",,Community space (used for user-group nights),Under 100,"cloudflareusergroup@cloudflare.com. usergroup-support@cloudflare.com. DMs: @lucataco @pranavwtf @craigsdennis. Kristian Freeman. Sabrina Farmin (form, no X). Org: https://x.com/cloudflare · https://x.com/CloudflareDev",,,"https://www.google.com/maps/search/?api=1&query=101+Townsend+St,+94107,+San+Francisco,+CA"
Convex,"444 De Haro, Potrero",,Unknown,Unknown,https://x.com/waynesutton,,,"https://www.google.com/maps/search/?api=1&query=444+De+Haro,+Potrero,+San+Francisco,+CA"
Framework,—,,"Hardware / stickers, not a room",—,https://x.com/cmonkey,,,
SHACK15,"Pier 1.5 / Ferry Building, 94111 (not SOMA)",,Two projector displays + lighting/sound,Community / member events. Under 50,"https://x.com/SHACK15sf · info@shack15.com · memberships@shack15.com · natasha@shack15.com (Natasha Nissar, no X) · danielle@shack15.com (Danielle Iannetta, no X) · (415) 734-6395 · private events: Summer Chiu",,,"https://www.google.com/maps/search/?api=1&query=Pier+1.5+/+Ferry+Building,+94111+(not+SOMA),+San+Francisco,+CA"
